covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
DIAMETRE_imp,0.0043289163395750455,1.0043382996328574,1.4197986274940996e-05,0.0043010887978231676,0.0043567438813269235,1.0043103517557534,1.0043662482876927,0.0,304.8965012183064,0.0,inf
LNG_log,1.1062449037763649,3.0229854532956493,0.006204431256098593,1.094084441969857,1.1184053655828727,2.986447165637729,3.0599707759724155,0.0,178.2991636322815,0.0,inf
DDP_year,0.0955134396871091,1.1002236085956212,0.0006524298198447902,0.09423470073777335,0.09679217863644485,1.098817608959168,1.1016314072885889,0.0,146.39649626963904,0.0,inf
nb_anomalies,-0.09870472149932462,0.9060101938618365,0.016778099666295447,-0.1315891925742872,-0.06582025042436204,0.8767010764245896,0.9362991485412749,0.0,-5.882950004022614,4.030176961577751e-09,27.886509666353234
nb_fuites_signalees,-0.08606560643713428,0.9175340331066191,0.017636002174425597,-0.12063153553027853,-0.051499677343990025,0.8863604917800124,0.9498039564221049,0.0,-4.880108631532159,1.0602742220266262e-06,19.847131127560747
nb_fuites_detectees,-0.664257373118549,0.5146555828973945,0.0831760805826683,-0.8272794954357803,-0.5012352508013178,0.4372371754915076,0.6057819047744752,0.0,-7.98615862234993,1.3920854136758472e-15,49.35167369049583
taux_anomalie_par_an,-31.36888878350016,2.3804808817195747e-14,0.5542073845358247,-32.45511529715652,-30.282662269843804,8.03382776748458e-15,7.053535863896997e-14,0.0,-56.60135476140057,0.0,inf
DT_NB_LOGEMENT_imp,-0.00019387902188883733,0.9998061397714342,4.348063251062227e-05,-0.00027909949563467836,-0.00010865854814299629,0.9997209394490063,0.9998913473549832,0.0,-4.458974276454532,8.235280269739344e-06,16.88975081956896
DT_FLUX_CIRCULATION_imp,-0.6343226043670618,0.5302945859149345,0.010055094033779239,-0.6540302265344327,-0.6146149821996909,0.5199460480526122,0.5408490917546825,0.0,-63.084701369883625,0.0,inf
mat_FTG,0.7751622988411441,2.1709444403595173,0.04064734080541338,0.6954949747952085,0.8548296228870796,2.004701104924619,2.350973794322878,0.0,19.07043077066209,4.446273245588302e-81,266.92357907400674
mat_FTVI,-0.12752805706553857,0.8802687177306396,0.08718473171110214,-0.29840699122108594,0.04335087709000876,0.7419992910888423,1.0443042530108915,0.0,-1.4627338361046893,0.14354022374560782,2.800473020239327
mat_PEHD,2.4849495314935144,12.000514591499371,0.0637779092455065,2.3599471263630574,2.6099519366239714,10.590391485115694,13.598397251243453,0.0,38.96254300102496,0.0,inf
mat_POLY,-10.583346320153966,2.533442740715713e-05,0.12220174013365927,-10.82285732966406,-10.343835310643872,1.9938513802892876e-05,3.2190624556750604e-05,0.0,-86.60552876397942,0.0,inf
mat_PVC,0.43727768761843844,1.548486012752734,0.14040621928424996,0.16208655461587534,0.7124688206210015,1.1759620218572342,2.039019021978213,0.0,3.114375487407558,0.0018433473980858598,9.083456297108807
mat_BTM,2.540957028830565,12.691811590049713,0.04629864402985949,2.450213353999,2.6317007036621303,11.590819403106854,13.897385148986368,0.0,54.88188870481434,0.0,inf
mat_ACIE,-0.09567936891004775,0.9087553445783536,0.14774848600547602,-0.38526108025110095,0.19390234243100546,0.6802730071703509,1.2139777230539444,0.0,-0.6475827366955325,0.5172548658656646,0.9510527831689308
mat_AUTRE,0.07950775732198605,1.0827539587679509,0.05869932935312051,-0.035540814126784975,0.19455632877075707,0.9650833443921989,1.2147719075661898,0.0,1.3544917497044513,0.1755795437718213,2.5098033241488493
